,percentage_occupied,a_symmetry,b_symmetry,c_symmetry,contour_perimeter,total_contour_perimeter,iou_circle,View
229,71.9226750261233,1.0,0.0,-44.0,793.0,1493.0,0.8692694871446062,1.0
230,73.04426925409338,0.0,1.0,-48.0,911.0,934.0,0.6780185758513931,1.0
231,70.16129032258065,0.0,1.0,-32.0,500.0,595.0,0.8252617801047121,3.0
232,65.8900786347666,1.2391304347826086,1.0,-173.5,1824.0,2797.0,0.6281117895725693,3.0
233,70.53130929791271,1.0,0.0,-68.0,1583.0,1681.0,0.8430360139408803,1.0
234,66.29614093959731,0.0,1.0,-74.0,1110.0,2726.0,0.7679613031725708,3.0
235,68.11009003991461,0.0,1.0,-81.0,1332.0,2373.0,0.7380011293054771,3.0
236,81.137469281308,0.0,1.0,-64.0,1280.0,2796.0,0.8296985440705612,1.0
237,78.16191108161911,0.0,1.0,-55.0,1018.0,2444.0,0.885587044534413,1.0
238,5.0,1.0,1.0,-21.5,28.0,8.0,0.0121580547112462,3.0
239,73.3726442363279,0.0,1.0,-46.0,828.0,1427.0,0.8470535312640576,2.0
240,52.094136418029514,1.0,0.0,-58.0,1352.0,907.0,0.5283057638960238,1.0
241,75.0,1.0,0.0,-2.0,11.0,1.0,0.75,1.0
242,63.26923076923077,1.0,0.0,-60.0,1732.0,1056.0,0.5875087596355991,1.0
243,67.26190476190477,1.0,0.0,-56.0,922.0,1431.0,0.7918912584954301,2.0
244,71.99389451071288,1.0,0.0,-66.0,1281.0,1690.0,0.8033699842924461,1.0
245,80.91995221027479,0.0,1.0,-62.0,1147.0,2715.0,0.8420975106790396,2.0
246,75.32448377581122,1.0,0.0,-60.0,1121.0,1946.0,0.804732675028912,2.0
247,67.46628475951785,1.0,0.0,-74.0,1083.0,1967.0,0.7829783852511125,3.0
248,70.31812725090036,1.0,0.0,-49.0,666.0,1070.0,0.7952482132509175,2.0
249,71.41225961538461,1.0,0.0,-64.0,1601.0,1471.0,0.7174182550751589,1.0
250,68.51851851851852,0.0,1.0,-81.0,1338.0,2420.0,0.7237634948531257,3.0
251,72.18643655809431,1.0,0.0,-68.0,1036.0,1306.0,0.8587610342941958,2.0
252,76.34445200816882,1.0,0.0,-65.0,1114.0,1881.0,0.8184640522875817,2.0
253,61.82396606574761,0.0,1.0,-23.0,367.0,331.0,0.6270553064275037,1.0
254,74.40732758620689,1.0,0.0,-58.0,1058.0,1974.0,0.8065509518477044,2.0
255,74.14465786314526,0.0,1.0,-49.0,593.0,1058.0,0.8270209157716224,2.0
256,66.32346632346632,0.0,1.0,-74.0,1129.0,2590.0,0.7765623860570262,3.0
257,67.8838412880966,1.0,0.0,-37.0,710.0,948.0,0.8357198142414861,1.0
258,65.09218612818262,1.0,0.0,-85.0,1312.0,1649.0,0.7744527736131934,3.0
259,81.3701923076923,0.0,1.0,-58.0,973.0,2437.0,0.8701067615658363,2.0
260,75.29519811073209,0.0,1.0,-52.0,662.0,1164.0,0.8377358490566038,2.0
261,68.56702619414484,1.0,0.0,-16.0,378.0,380.0,0.6936114732724902,2.0
